Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	23	1584	43	M20-24	20-24	198.82	N	NY
F	44	1000	18	F40-44	40-44	188.57	Y	CAN
M	42	1837	264	M40-44	40-44	201.85	N	PER
M	24	2218	57	M20-24	20-24	205.9	N	NY
M	51	1561	91	M50-54	50-54	198.45	Y	NY
M	28	1137	179	M25-29	25-29	190.92	N	NY
M	27	2251	334	M25-29	25-29	206.2	N	IL
M	29	50	17	M25-29	25-29	152.3	Y	CA
F	28	224	9	F25-29	25-29	168.58	Y	NJ
M	38	2401	382	M35-39	35-39	207.65	N	NJ
M	39	1515	258	M35-39	35-39	197.72	N	NY
M	36	960	174	M35-39	35-39	187.88	N	NY
M	30	211	60	M30-34	30-34	167.8	Y	NY
M	27	1112	176	M25-29	25-29	190.43	N	NY
F	33	1115	43	F30-34	30-34	190.47	Y	NY
M	22	1141	36	M20-24	20-24	190.95	N	IL
M	50	1193	59	M50-54	50-54	191.92	Y	NY
M	29	15	6	M25-29	25-29	137.42	Y	DNK
M	27	2492	362	M25-29	25-29	208.32	N	NY
M	37	2431	388	M35-39	35-39	207.9	N	PA
M	44	231	17	M40-44	40-44	169.13	Y	CAN
M	46	956	79	M45-49	45-49	187.8	Y	JPN
M	49	1159	105	M45-49	45-49	191.27	Y	CAN
M	30	973	203	M30-34	30-34	188.13	N	NY
M	20	2406	62	M20-24	20-24	207.72	N	NY
M	25	13	5	M25-29	25-29	136.65	Y	JPN
M	28	1181	183	M25-29	25-29	191.67	N	DC
M	23	1402	39	M20-24	20-24	195.95	N	NY
M	33	1857	342	M30-34	30-34	201.98	N	NY
F	41	70	3	F40-44	40-44	155.9	Y	SWE
M	26	1465	221	M25-29	25-29	197.03	N	NY
M	28	1549	231	M25-29	25-29	198.3	N	NY
M	50	1103	50	M50-54	50-54	190.17	Y	CAN
M	56	2073	49	M55-59	55-59	204.5	Y	CA
M	39	905	160	M35-39	35-39	186.62	N	NY
M	49	2239	208	M45-49	45-49	206.07	N	FRA
M	28	1867	269	M25-29	25-29	202.1	N	NY
M	40	1184	178	M40-44	40-44	191.72	N	DEU
M	36	290	59	M35-39	35-39	171.37	Y	NY
F	48	2467	26	F45-49	45-49	208.08	Y	GBR
M	26	2054	299	M25-29	25-29	204.33	N	CT
M	44	1155	173	M40-44	40-44	191.17	N	NY
M	26	288	62	M25-29	25-29	171.32	Y	NJ
M	24	75	3	M20-24	20-24	156.65	Y	NJ
M	39	1871	308	M35-39	35-39	202.15	N	SC
F	25	2021	91	F25-29	25-29	203.95	Y	NY
M	32	535	132	M30-34	30-34	178.5	Y	NY
M	33	2084	372	M30-34	30-34	204.6	N	NY
M	47	2489	230	M45-49	45-49	208.3	N	IND
M	39	939	169	M35-39	35-39	187.33	N	NY
M	26	566	99	M25-29	25-29	179.02	Y	NY
M	62	2261	13	M60-64	60-64	206.3	Y	NLD
M	31	1893	348	M30-34	30-34	202.45	N	MEX
M	55	1567	28	M55-59	55-59	198.53	Y	OH
